id,nazev,absolutni_magnituda,prumer_max_metry,rychlost_km_h,vzdalenost_minuti_km,je_sentry_objekt,je_nebezpecny
54607481,(2026 FM13),24.807,64.9590969478,21386.185939421,25720391.85827187,False,False
54607529,(2026 GZ),25.933,38.6758599362,35534.20189732,5967731.541779992,False,False
3546367,(2010 RA91),23.59,113.773201439,35596.321553152,1796116.487706964,False,False
3712947,(2015 EQ),26.1,35.8129403019,58613.4314487076,27575878.17554107,False,False
3733861,(2015 VT64),26.0,37.5007521798,55854.5693184871,69226706.192984583,False,False
3836962,(2018 YU),19.99,597.0902489167,37781.64877765,21132883.505758592,False,False
54017178,(2020 KY2),23.59,113.773201439,21094.1187252502,70552992.094619602,False,False
54253543,(2022 EH4),24.93,61.3818507339,81161.0137705795,69766720.051295122,False,False
54349052,(2023 FF),23.51,118.0429294515,61793.7594690499,51451448.2495003,False,False
54373550,(2023 MP),25.09,57.0216760901,57597.1544655461,73813218.343361957,False,False
54381325,(2023 RJ3),21.02,371.5694321726,59802.9138456548,20327375.764395263,False,True
54384224,(2023 SN),26.49,29.925401008,61357.861979581,30116749.692338847,False,False
54487282,(2024 TS2),26.97,23.9905375262,106798.5505050815,70718787.539355769,False,False
54495687,(2024 UW2),24.93,61.3818507339,54497.496804394,37676725.520192998,False,False
54603322,(2026 DH3),23.71,107.6564311691,26148.0950729839,10368023.141597341,False,False
54606217,(2026 EM1),23.15,139.3285055244,54653.5082301844,14212807.779697601,False,False
2885377,885377 (2018 YU),19.93,613.8185073387,37781.6510256998,21132886.766992158,False,False
54606359,(2026 EE3),26.003,37.4489787481,36824.6364381223,3895776.373591229,False,False
54606417,(2026 ER3),25.613,44.8167107239,36600.808114408,7022238.31057268,False,False
54606456,(2026 FK),26.712,27.0171776687,55531.6641055699,2651417.565944266,False,False
54606474,(2026 FU),27.65,17.5404196192,15852.4510513561,592547.334489941,True,False
54606570,(2026 FH3),26.091,35.9616805438,50751.9024253236,3936025.500997285,False,False
54606675,(2026 FW3),22.877,157.9937760223,84998.1806314808,12855782.477815408,False,False
54606890,(2026 FZ4),30.044,5.8242496033,49625.0702424338,478444.132230805,True,False
54606906,(2026 FS5),31.331,3.2198821669,38848.9753123488,46133.350185488,False,False
54607057,(2026 FJ7),26.959,24.1123744185,31011.1572045624,5338272.578444121,False,False
54607421,(2026 FO12),25.019,58.916912352,49150.4606455496,6885548.926619453,False,False
54607472,(2026 FJ13),25.374,50.0310916188,104014.7752512449,3397049.702306676,False,False
3515692,(2010 GD35),24.62,70.8010957001,50273.4760127626,12123680.735764935,False,False
3715092,(2015 FW284),24.9,62.2357573367,74381.1848990842,27184487.347670463,False,False
3771582,(2017 FN),22.5,187.9489824394,39761.8878242707,71043737.315625406,False,False
3797752,(2018 BU1),24.6,71.4562101727,33134.3531121887,25070596.650246921,False,False
3841184,(2019 GW19),22.2,215.7943048444,60167.117614352,59761448.452059422,False,False
3986735,(2020 BS),27.9,15.6329154409,16841.3744291555,52020205.513437325,False,False
54135784,(2021 GW4),29.47,7.5864740875,31316.5266796417,12972507.248108211,False,False
54185132,(2021 PZ9),26.94,24.3242791478,24634.7034956896,31500046.609201303,False,False
54212691,(2021 UX1),29.27,8.3184034225,28592.6838094461,40469551.669537724,True,False
54243727,(2022 BC6),24.09,90.3732662579,31658.7217212745,73808640.065108264,False,False
54373709,(2023 MF1),24.9,62.2357573367,72033.1452246992,40772308.85610924,False,False
54411557,(2023 WO3),24.7,68.2401509401,66396.1720752025,51050657.948101001,False,False
54502144,(2024 WH12),26.93,24.436554919,24309.7125960453,28765438.131503434,False,False
54606974,(2026 FF6),25.011,59.1343706056,71346.1794192853,2955733.756798413,False,False
54606975,(2026 FG6),27.516,18.6569212661,36679.3650357372,703066.874893866,False,False
54607636,(2026 GB2),24.853,63.5974904501,36265.3840407791,5983017.167900639,False,False
3467709,(2009 SW19),19.61,711.2789870931,123903.1573579757,18277136.37261357,False,False
3633188,(2013 FW13),21.67,275.4482254239,71123.2693299169,25685773.355336022,False,True
3666685,(2014 FO38),26.35,31.9183166414,72498.5510919728,52960371.832708844,False,False
3878616,(2019 TH5),24.7,68.2401509401,39331.1883447274,65094531.525272604,False,False
3989190,(2020 BL8),25.71,42.8587972046,41125.724103353,39722840.663256448,False,False
54016356,(2020 FL4),26.96,24.1012728161,25081.6724539074,16336614.73649175,False,False
54104721,(2021 AC2),27.89,15.7050737,65997.6034404218,55939958.595884082,False,False
54207054,(2021 TX9),25.27,52.4855773378,78094.4320731694,68975484.8592768,False,False
54264238,(2022 FE1),26.3,32.6617897446,37309.5863886359,33731945.821119479,False,False
54351720,(2023 FH3),25.26,52.7278397554,14340.7199064727,25064269.094179744,False,False
54524634,(2025 FN7),30.73,4.246586539,40998.7557277902,20574914.043423007,True,False
2837253,837253 (2013 FW13),21.67,275.4482254239,71123.2694441878,25685773.534853466,False,True
54604293,(2026 DT10),22.43,194.1064553155,74374.8863066089,26031946.865658512,False,False
54606562,(2026 FA3),26.599,28.4603331007,49569.3730003424,2868404.638845296,False,False
54607452,(2026 FD13),28.317,12.9014932284,21567.4417959014,5372478.699891527,False,False
54607520,(2026 GS),25.666,43.7360924371,36636.9393970242,2567858.448953232,False,False
3306408,(2005 XY4),23.5,118.5877908577,58780.2590668573,16402683.43899429,False,False
3409707,(2008 HU4),28.3,13.0028927004,16918.8650848316,19274105.601515569,False,False
3710920,(2015 DS53),24.2,85.9092601232,29925.6252995991,35831300.871424045,False,False
3749034,(2016 GN2),25.0,59.4346868419,21363.5489965542,15374907.849838505,False,False
3752457,(2016 HP6),25.4,49.435619262,58002.6432475804,53555909.25462541,False,False
54016204,(2020 FM),24.1,89.9580388169,40325.0109959311,53105137.571829548,False,False
54133137,(2021 FJ3),23.51,118.0429294515,97163.8206721031,70556826.542344081,False,False
54219796,(2021 VP12),24.61,71.1278987093,62246.2163465668,72101174.093340127,False,False
54416963,(2023 XV14),22.86,159.2355303825,14604.6471220765,65387764.339053765,False,False
54554175,(2025 UP4),25.28,52.2444280149,30890.7249466152,21595856.046756553,False,False
54605665,(2026 DK16),21.7,271.6689340891,64417.7450019694,23539800.422304825,False,False
54606301,(2026 EG2),23.458,120.9038077524,58926.362525572,16438174.097512238,False,False
54606544,(2026 FR2),25.642,44.2221627705,41876.6232153694,6919572.149710997,False,False
54606547,(2026 FU2),27.634,17.6701395261,47364.9099481386,922455.47232158,False,False
54606827,(2026 FL4),26.986,23.814418357,69437.675323606,1861403.421660458,True,False
54606889,(2026 FY4),25.86,39.9981568182,22153.842137575,8774834.040255623,False,False
54606912,(2026 FX5),26.903,24.7422948934,43785.536911033,2940132.449252492,False,False
54606978,(2026 FK6),25.355,50.4707756061,24304.2112346412,14667180.732017973,False,False
54607103,(2026 FO8),26.597,28.4865581114,28049.5676840149,4102556.264143863,False,False
3430307,(2008 TA4),25.1,56.7596852866,30865.4414286389,19202516.273856632,False,False
3634612,(2013 GH66),28.0,14.9293183439,49389.6353896087,62805113.562956211,False,False
3773594,(2017 FN127),25.6,45.0858206172,77852.1525293898,64463934.002467737,False,False
3840865,(2019 GL4),23.1,142.5738833281,51078.6573623996,46349992.614816124,False,False
3878564,(2019 TP1),21.18,345.1755128432,48649.326163349,22798573.180264778,False,True
54087767,(2020 VA4),27.43,19.4106455316,37890.2423329301,28793401.68343361,False,False
54137512,(2021 GV12),23.11,141.9188158376,33247.5166104935,56317314.001993419,False,False
54248451,(2022 DV1),24.94,61.0998267476,89992.2775502905,70522848.886763739,False,False
54262978,(2022 FN),26.78,26.1842403492,78144.9654607502,43418772.309071012,False,False
54445454,(2024 KB2),23.53,116.9607053693,39397.7344042418,64534277.89793935,False,False
54545774,(2025 SK),23.27,131.8378095647,52571.9111836727,17574661.291933637,False,False
54548705,(2025 SP20),27.37,19.9544599636,39445.9504877041,7187774.771476303,False,False
